kind,id,file,heading,source_id,source_label,auteur,titre,annee,records,atoms,quotes,chronology,files
source,S02,exports/generated/sources.json,,S02,"S02 — Sueur, Villes du futur, futur des villes, 2011",Jean-Pierre Sueur / Sénat,"Villes du futur, futur des villes : quel avenir pour les villes du monde ? Tome II : Analyses",2011,22,11,0,0,"[""registers/chronology/s02_sueur_chronology_manchester_shrinking_city_v2.md"", ""registers/concepts/s02_sueur_concepts_manchester_shrinking_city_v2.md"", ""registers/motifs/s02_sueur_motifs_manchester_shrinking_city_v2.md"", ""registers/myths/s02_sueur_mythes_manchester_shrinking_city_v2.md"", ""registers/organizations/s02_sueur_organizations_manchester_shrinking_city_v2.md"", ""registers/places/s02_sueur_places_manchester_shrinking_city_v2.md"", ""registers/references/s02_sueur_relations_rag_manchester_shrinking_city_v2.md"", ""registers/references/s02_sueur_source_canonique.md"", ""sources/sueur_villes_du_futur/source.md"", ""sources/sueur_villes_du_futur/source_part_manchester_shrinking_city_v2.md""]"
source,S05,exports/generated/sources.json,,S05,"S05 — Jeffery, Tufail & Jackson, Policing and the Reproduction of Local Social Order, 2015",Bob Jeffery ; Waqas Tufail ; Will Jackson,Policing and the Reproduction of Local Social Order: a case study of Greater Manchester,2015,26,14,0,0,"[""registers/chronology/s05_jeffery_tufail_jackson_chronology_public_order_v2.md"", ""registers/concepts/s05_jeffery_tufail_jackson_concepts_public_order_v2.md"", ""registers/motifs/s05_jeffery_tufail_jackson_motifs_public_order_v2.md"", ""registers/myths/s05_jeffery_tufail_jackson_myths_public_order_v2.md"", ""registers/organizations/s05_jeffery_tufail_jackson_organizations_public_order_v2.md"", ""registers/people/s05_jeffery_tufail_jackson_people_public_order_v2.md"", ""registers/places/s05_jeffery_tufail_jackson_places_public_order_v2.md"", ""registers/references/s05_jeffery_tufail_jackson_relations_rag_public_order_v2.md"", ""registers/references/s05_jeffery_tufail_jackson_source_canonique.md"", ""sources/jeffery_tufail_jackson_policing/source.md"", ""sources/jeffery_tufail_jackson_policing/source_part_public_order_greater_manchester_v2.md""]"
source,S06,exports/generated/sources.json,,S06,"S06 — Carter, Youth, race and the inner-city estate, 2021/2023",Isabelle Carter,"Youth, race and the inner-city estate: narratives of everyday life in Manchester’s Hulme, 1970–1994",2021/2023,25,13,0,0,"[""registers/chronology/s06_carter_chronology_hulme_lived_discursive_space_v2.md"", ""registers/concepts/s06_carter_concepts_hulme_lived_discursive_space_v2.md"", ""registers/motifs/s06_carter_motifs_hulme_lived_discursive_space_v2.md"", ""registers/myths/s06_carter_myths_hulme_lived_discursive_space_v2.md"", ""registers/organizations/s06_carter_organizations_hulme_lived_discursive_space_v2.md"", ""registers/people/s06_carter_people_hulme_lived_discursive_space_v2.md"", ""registers/places/s06_carter_places_hulme_lived_discursive_space_v2.md"", ""registers/references/s06_carter_hulme_source_canonique.md"", ""registers/references/s06_carter_relations_rag_hulme_lived_discursive_space_v2.md"", ""sources/carter_hulme_youth_race_inner_city/source.md"", ""sources/carter_hulme_youth_race_inner_city/source_part_hulme_lived_discursive_space_v2.md""]"
source,S10,exports/generated/sources.json,,S10,"S10 — Sumner, Chapter and Verse, 2014/2015",Bernard Sumner,"Chapter and Verse: New Order, Joy Division and Me",2014/2015,59,40,0,0,"[""registers/chronology/s10_sumner_chronology_late_jd_transition_memory_v2.md"", ""registers/chronology/s10_sumner_chronology_salford_formation_sound_v2.md"", ""registers/concepts/s10_sumner_concepts_late_jd_transition_memory_v2.md"", ""registers/concepts/s10_sumner_concepts_salford_formation_sound_v2.md"", ""registers/motifs/s10_sumner_motifs_late_jd_transition_memory_v2.md"", ""registers/motifs/s10_sumner_motifs_salford_formation_sound_v2.md"", ""registers/myths/s10_sumner_myths_late_jd_transition_memory_v2.md"", ""registers/myths/s10_sumner_myths_salford_formation_sound_v2.md"", ""registers/organizations/s10_sumner_organizations_late_jd_transition_memory_v2.md"", ""registers/organizations/s10_sumner_organizations_salford_formation_sound_v2.md"", ""registers/people/s10_sumner_people_salford_formation_sound_v2.md"", ""registers/places/s10_sumner_places_late_jd_transition_memory_v2.md"", ""registers/places/s10_sumner_places_salford_formation_sound_v2.md"", ""registers/references/s10_sumner_chapter_and_verse_source_canonique.md"", ""registers/references/s10_sumner_relations_rag_late_jd_transition_memory_v2.md"", ""registers/references/s10_sumner_relations_rag_salford_formation_sound_v2.md"", ""registers/songs/s10_sumner_songs_late_jd_transition_memory_v2.md"", ""registers/songs/s10_sumner_songs_salford_formation_sound_v2.md"", ""sources/sumner_chapter_and_verse/source.md"", ""sources/sumner_chapter_and_verse/source_part_sumner_late_jd_transition_memory_v2.md"", ""sources/sumner_chapter_and_verse/source_part_sumner_salford_formation_sound_v2.md""]"
source,S12,exports/generated/sources.json,,S12,"S12 — Dossier de presse, AIDS / Anderton, 13 décembre 1986",The Times ; Nicholas Wood ; Thomson Prentice ; auteurs multiples,Bundle of press articles re AIDS,1986,21,9,0,0,"[""registers/chronology/s12_press_aids_anderton_chronology_moral_order_v2.md"", ""registers/concepts/s12_press_aids_anderton_concepts_moral_order_v2.md"", ""registers/motifs/s12_press_aids_anderton_motifs_moral_order_v2.md"", ""registers/myths/s12_press_aids_anderton_myths_moral_order_v2.md"", ""registers/organizations/s12_press_aids_anderton_organizations_moral_order_v2.md"", ""registers/people/s12_press_aids_anderton_people_moral_order_v2.md"", ""registers/quotes/s12_press_aids_anderton_quotes_moral_order_v2.md"", ""registers/references/s12_press_aids_anderton_relations_rag_moral_order_v2.md"", ""registers/references/s12_press_aids_anderton_source_canonique.md"", ""sources/press_aids_anderton_1986/source.md"", ""sources/press_aids_anderton_1986/source_part_aids_anderton_moral_order_v2.md""]"
source,S13,exports/generated/sources.json,,S13,"S13 — Tomeo, Dance Dance Dance!, 2021",Caterina Tomeo,Dance Dance Dance! L’Interzone tra il sound dei Joy Division e la rave era,2021,21,10,0,0,"[""registers/motifs/s13_tomeo_motifs_interzone_rave_era.md"", ""registers/references/s13_tomeo_dance_dance_dance_source_canonique.md"", ""registers/references/s13_tomeo_interzone_rave_era_reference_complement.md"", ""registers/relations/s13_tomeo_relations_interzone_rave_era.md"", ""sources/tomeo_dance_dance_dance/source.md"", ""sources/tomeo_dance_dance_dance/source_part_interzone_rave_era.md""]"
source,S15,exports/generated/sources.json,,S15,"S15 — De Luca, The Sound and the Fury, 2021",Daniele De Luca,"The Sound and the Fury. Manchester, i Joy Division e la crisi sociopolitica dell’Inghilterra degli anni Settanta",2021,62,15,5,8,"[""registers/references/s15_deluca_source_canonique.md"", ""sources/deluca_manchester_punk_threshold/atomes_s15_sound_fury.md"", ""sources/deluca_manchester_punk_threshold/citations_exactes.md"", ""sources/deluca_manchester_punk_threshold/registres_specialises_s15.md"", ""sources/deluca_manchester_punk_threshold/registres_structurants_s15.md"", ""sources/deluca_manchester_punk_threshold/relations_stabilisees.md"", ""sources/deluca_manchester_punk_threshold/source.md""]"
source,S16,exports/generated/sources.json,,S16,"S16 — Buzzcocks, « Boredom », 1977",Buzzcocks,« Boredom »,1977,1,0,0,0,"[""sources/deluca_manchester_punk_threshold/registres_structurants_s15.md""]"
source,S20,exports/generated/sources.json,,S20,"S20 — Dodge, Mapping Manchester’s housing problems, Manchester Geographies, s.d.",Martin Dodge,Mapping the geographies of Manchester’s housing problems and the twentieth century solutions,s.d.,27,15,0,0,"[""registers/chronology/s20_dodge_chronology_housing_geographies_v2.md"", ""registers/concepts/s20_dodge_concepts_housing_geographies_v2.md"", ""registers/motifs/s20_dodge_motifs_housing_geographies_v2.md"", ""registers/myths/s20_dodge_myths_housing_geographies_v2.md"", ""registers/organizations/s20_dodge_organizations_housing_geographies_v2.md"", ""registers/people/s20_dodge_people_housing_geographies_v2.md"", ""registers/places/s20_dodge_places_housing_geographies_v2.md"", ""registers/references/s20_dodge_relations_rag_housing_geographies_v2.md"", ""registers/references/s20_dodge_source_canonique.md"", ""sources/dodge_manchester_geographies/source.md"", ""sources/dodge_manchester_geographies/source_part_housing_geographies_v2.md""]"
source,S41,exports/generated/sources.json,,S41,"S41 — Hook, Unknown Pleasures, 2012",Peter Hook,Unknown Pleasures: Inside Joy Division,2012,571,430,9,9,"[""registers/chronology/master_chronology.md"", ""registers/people/master_people.md"", ""registers/songs/master_songs.md"", ""registers/songs/s41_hook_songs_1956_1976_salford_jamaica_music_pistols_epiphany.md"", ""registers/songs/s41_hook_songs_1976_1977_timeline_two_warsaw_to_joy_division.md"", ""registers/songs/s41_hook_songs_1976_lesser_free_trade_hall_bass_ian_joining.md"", ""registers/songs/s41_hook_songs_1977_an_ideal_name_change_tj_davidson_sound.md"", ""registers/songs/s41_hook_songs_1977_warsaw_first_gigs_hannett_erasmus_demos.md"", ""registers/songs/s41_hook_songs_1978_factory_sample_rezillos_hope_anchor_epilepsy.md"", ""registers/songs/s41_hook_songs_1978_pips_first_joy_division_gig.md"", ""registers/songs/s41_hook_songs_1978_stiff_chiswick_rca_gretton_factory_granada.md"", ""registers/songs/s41_hook_songs_1978_timeline_three_factory_live_medical_threshold.md"", ""registers/songs/s41_hook_songs_1979_1980_timeline_four_end_europe_annnik_we_carried_on.md"", ""registers/songs/s41_hook_songs_1979_factory_deal_unknown_pleasures_release_anti_image.md"", ""registers/songs/s41_hook_songs_1979_licht_lwtua_bournemouth_unknown_pleasures_track_by_track_1.md"", ""registers/songs/s41_hook_songs_1979_m5_annnik_buzzcocks_plan_k_atmosphere.md"", ""registers/songs/s41_hook_songs_1979_peel_factory_genetic_eden_transition.md"", ""registers/songs/s41_hook_songs_1979_unknown_pleasures_track_by_track_2_timeline_four_jan_oct.md"", ""registers/songs/s41_hook_songs_1980_closer_britannia_row_lwtua_mix_annnik_saville.md"", ""registers/songs/s41_hook_songs_1980_epilogue_closer_track_by_track.md"", ""registers/songs/s41_hook_songs_1980_lwtua_video_birmingham_suicide_funeral_aftermath.md"", ""registers/songs/s41_hook_songs_1980_moonlight_rainbow_bury_derby_divorce.md"", ""sources/hook/atomisation_02_transmission_1978.md"", ""sources/hook/atomisation_03_unknown_pleasures_1979.md"", ""sources/hook/atomisation_04_unknown_pleasures_track_by_track.md"", ""sources/hook/atomisation_05_closer_phase_terminale_1980.md"", ""sources/hook/atomisation_06_consolidation_finale.md"", ""sources/hook/citations_exactes.md"", ""sources/hook/source.md"", ""sources/hook_unknown_pleasures/source_part_1956_1976_salford_jamaica_music_pistols_epiphany.md"", ""sources/hook_unknown_pleasures/source_part_1976_1977_timeline_two_warsaw_to_joy_division.md"", ""sources/hook_unknown_pleasures/source_part_1976_lesser_free_trade_hall_bass_ian_joining.md"", ""sources/hook_unknown_pleasures/source_part_1977_an_ideal_name_change_tj_davidson_sound.md"", ""sources/hook_unknown_pleasures/source_part_1977_warsaw_first_gigs_hannett_erasmus_demos.md"", ""sources/hook_unknown_pleasures/source_part_1978_factory_sample_rezillos_hope_anchor_epilepsy.md"", ""sources/hook_unknown_pleasures/source_part_1978_pips_first_joy_division_gig.md"", ""sources/hook_unknown_pleasures/source_part_1978_stiff_chiswick_rca_gretton_factory_granada.md"", ""sources/hook_unknown_pleasures/source_part_1978_timeline_three_factory_live_medical_threshold.md"", ""sources/hook_unknown_pleasures/source_part_1979_factory_deal_unknown_pleasures_release_anti_image.md"", ""sources/hook_unknown_pleasures/source_part_1979_licht_lwtua_bournemouth_unknown_pleasures_track_by_track_1.md"", ""sources/hook_unknown_pleasures/source_part_1979_m5_annnik_buzzcocks_plan_k_atmosphere.md"", ""sources/hook_unknown_pleasures/source_part_1979_peel_factory_genetic_eden_transition.md"", ""sources/hook_unknown_pleasures/source_part_1979_timeline_four_oct_dec_europe_annnik_we_carried_on.md"", ""sources/hook_unknown_pleasures/source_part_1979_unknown_pleasures_track_by_track_2_timeline_four_jan_oct.md"", ""sources/hook_unknown_pleasures/source_part_1980_closer_britannia_row_lwtua_mix_annnik_saville.md"", ""sources/hook_unknown_pleasures/source_part_1980_epilogue_closer_track_by_track.md"", ""sources/hook_unknown_pleasures/source_part_1980_lwtua_video_birmingham_suicide_funeral_aftermath.md"", ""sources/hook_unknown_pleasures/source_part_1980_moonlight_rainbow_bury_derby_divorce.md""]"
